"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Senior Specialist Prosecutor N","66930","77290","Senior District Crown Prosecutor","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","AP Solicitor Apprentice (Lon)","32040","36240","Legal Trainee","0.81","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Associate Prosecutor (Lon)","32040","36240","Associate Prosecutor","2.81","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Associate Prosecutor (Nat)","30930","34480","Associate Prosecutor","3.81","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Associate Prosecutor 2 (Lon)","36130","39540","Associate Prosecutor","0.60","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","B1 Solicitor Apprentice (Lon)","26970","30110","Legal Trainee","2.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Crown Advocate (Lon)","56460","64670","Crown Advocate","4.92","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Crown Advocate (Nat)","51940","59930","Crown Advocate","5.51","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Crown Advocate ABP (Lon)","65440","69430","Crown Advocate","3.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Crown Advocate ABP (Nat)","60810","64510","Crown Advocate","2.61","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Crown Prosecutor (Lon)","40000","44660","Crown Prosecutor","13.62","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Crown Prosecutor (Nat)","38000","42630","Crown Prosecutor","6.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Legal Manager 1 (London)","63960","71310","Legal Manager","0.90","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Legal Manager 1 (London)","63960","71310","Legal Manager","10.82","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Legal Manager 1 (National)","58040","66990","District Crown Prosecutor","0.60","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Legal Manager 1 (National)","58040","66990","Legal Manager","4.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Legal Manager 2 (London)","70890","79430","Legal Manager","2.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Legal Trainee AP1 (Nat)","30930","34480","Legal Trainee","0.59","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level A2 (Lon)","20120","23520","Administrative Officer","4.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level A2 (Lon)","20120","23520","Casework Administration Assistant","23.51","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level A2 (Nat)","18736","21950","Administrative Officer","3.22","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level A2 (Nat)","18736","21950","Casework Administration Assistant","15.02","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level A2 (Nat)","18736","21950","Victim Liaison Officer","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level A2 Apprentice (Lon)","20120","23520","Casework Administration Assistant","6.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level A2 Apprentice (Nat)","16767","18900","Casework Administration Assistant","6.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Lon)","26970","30110","Advocacy Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Lon)","26970","30110","Casework Manager","0.81","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Lon)","26970","30110","Casework Manager","0.95","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Lon)","26970","30110","Casework Administration Manager","4.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Lon)","26970","30110","Charging Workflow Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Lon)","26970","30110","Court Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Lon)","26970","30110","Paralegal Officer","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Lon)","26970","30110","Senior Personal Assistant","1.81","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Nat)","25480","28430","Business Centre Support Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Nat)","25480","28430","Casework Administration Manager","4.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Nat)","25480","28430","Court Manager","4.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Nat)","25480","28430","Learning Operations Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Nat)","25480","28430","Paralegal Officer","2.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Nat)","25480","28430","Senior Personal Assistant","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 (Nat)","25480","28430","Victim Liaison Officer","1.54","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 Legal Trainee (Lon)","26970","30110","Legal Trainee","3.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 Legal Trainee (Nat)","25480","28430","Legal Trainee","1.60","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 Paralegal Off (Lon)","26970","30110","Case Progression Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 Paralegal Off (Lon)","26970","30110","Legal Manager","0.38","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 Paralegal Off (Lon)","26970","30110","Paralegal Officer","22.10","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 Paralegal Off (Nat)","25480","28430","Court Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 Paralegal Off (Nat)","25480","28430","Fees Manager","0.92","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Officer","11.58","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B2 (Lon)","31560","35020","Change Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B2 (Lon)","31560","35020","Facilities, Estates and Security Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B2 (Lon)","31560","35020","Legal Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B2 (Lon)","31560","35020","Paralegal Business Manager","2.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B2 (Nat)","30130","33310","Facilities, Estates and Security Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B2 (Nat)","30130","33310","HR Advisor","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B2 (Nat)","30130","33310","Paralegal Business Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B2 (Nat)","30130","33310","Performance Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B2 Paralegal BM (Lon)","31560","35020","Paralegal Business Manager","2.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B2 Paralegal BM (Nat)","30130","33310","Paralegal Business Manager","0.81","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B3 (Lon)","39750","45530","Communications Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B3 (Lon)","39750","45530","Senior Business Manager","2.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level B3 (Nat)","38180","43390","Inclusion & Community Engagement Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level D Admin (Nat)","50850","59670","Head of Business Centre","1.18","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level E Admin (Lon)","69680","79410","Area Business Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Level E Legal (Lon)","69680","79410","Legal Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Paralegal Assistant (Lon)","20999","24590","Paralegal Assistant","2.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Paralegal Assistant (Nat)","20251","23470","Paralegal Assistant","5.32","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Principal Crown Advocate (Lon)","80660","88030","Principal Crown Advocate","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Senior Crown Advocate (Lon)","69300","74660","Senior Crown Advocate","0.50","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Senior Crown Prosecutor (Lon)","50519","62590","Senior Crown Prosecutor","1.49","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Senior Crown Prosecutor (Lon)","50519","62590","Senior Crown Prosecutor","39.07","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Senior Crown Prosecutor (Nat)","48077","55610","Court Manager","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","2.70","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","26.26","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","East of England","CPS-G-007","Senior Crown Prosecutor BAR","50519","62590","Senior Crown Prosecutor","1.00","Government Legal Profession","East of England"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","AP Solicitor Apprentice (Lon)","32040","36240","Trainee Solicitor","1.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Associate Prosecutor (Lon)","32040","36240","Associate Prosecutor","7.60","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Crown Advocate (Lon)","56460","64670","Crown Advocate","8.40","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Crown Advocate ABP (Lon)","65440","69430","Crown Advocate","7.63","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Crown Prosecutor (Lon)","40000","44660","Crown Prosecutor","8.80","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Crown Prosecutor (Lon)","40000","44660","Crown Prosecutor","1.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Crown Prosecutor (Lon)","40000","44660","Senior Crown Prosecutor","5.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Legal Manager 1 (London)","63960","71310","District Crown Prosecutor","27.97","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Legal Manager 1 (National)","58040","66990","District Crown Prosecutor","1.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Legal Manager 1 (National)","58040","66990","District Crown Prosecutor","5.00","Government Legal Profession","Wales"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Legal Manager 2 (London)","70890","79430","District Crown Prosecutor","1.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Legal Manager 2 (London)","70890","79430","Senior District Crown Prosecutor","7.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Legal Trainee AP1 (Lon)","32040","36240","Legal Trainee","1.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level A2 (Lon)","20120","23520","Administrative Officer","21.80","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level A2 (Lon)","20120","23520","Casework Assistant","34.76","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level A2 (Lon)","20120","23520","Caseworker","2.99","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level A2 (Lon)","20120","23520","Fees Clerk","4.72","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level A2 (Lon)","20120","23520","Paralegal Assistant","3.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level A2 Apprentice (Lon)","20120","23520","Administrative Officer","16.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level A2 Apprentice (Lon)","20120","23520","Casework Assistant","4.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B1 (Lon)","26970","30110","Business Services Manager","2.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B1 (Lon)","26970","30110","Case Progression Manager","3.88","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B1 (Lon)","26970","30110","Casework Administration Manager","5.26","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B1 (Lon)","26970","30110","Court Manager","1.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B1 (Lon)","26970","30110","Crown Court Manager","1.88","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B1 (Lon)","26970","30110","Fees Manager","1.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B1 (Lon)","26970","30110","Senior Personal Assistant","2.50","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B1 Legal Trainee (Lon)","26970","30110","Legal Trainee","5.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B1 Paralegal Off (Lon)","26970","30110","Business Centre Manager","0.92","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B1 Paralegal Off (Lon)","26970","30110","Case Progression Manager","2.80","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B1 Paralegal Off (Lon)","26970","30110","Crown Court Manager","1.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B1 Paralegal Off (Lon)","26970","30110","Paralegal Officer","60.03","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B2 (Lon)","31560","35020","Court Centre Manager","5.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B2 (Lon)","31560","35020","Delivery Manager","1.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B2 Paralegal BM (Lon)","31560","35020","Paralegal Business Manager","11.66","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B2 Paralegal BM (Nat)","30130","33310","Paralegal Business Manager","1.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B3 (Lon)","39750","45530","Operational Business Manager","2.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level B3 (Lon)","39750","45530","Senior Business Manager","3.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level D Admin (Lon)","54760","65050","Senior Operational Business Manager","2.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level E Admin (Lon)","69680","79410","Area Business Manager","1.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Level E Legal (Lon)","69680","79410","Senior Crown Advocate","1.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Paralegal Assistant (Lon)","20999","24590","Paralegal Assistant","36.34","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Principal Crown Advocate (Lon)","80660","88030","Principal Crown Advocate","1.00","Government Legal Profession","London"
"Attorney General's Office","Crown Prosecution Service","LONDON NORTH","CPS-G-020","Senior Crown Advocate (Lon)","69300","74660","Senior Crown Advocate","1.60","Government Legal Profession","London"
