"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Associate Prosecutor (Nat)","30930","34480","Associate Prosecutor","10.73","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","B1 Solicitor Apprentice (Nat)","25480","28430","Trainee Solicitor","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Crown Advocate (Nat)","51940","59930","Crown Advocate","8.21","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Crown Advocate ABP (Nat)","60810","64510","Crown Advocate","5.17","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Crown Prosecutor (Nat)","38000","42630","Crown Prosecutor","14.66","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Legal Manager 1 (National)","58040","66990","District Crown Prosecutor","20.38","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Legal Manager 2 (National)","67320","77300","Senior District Crown Prosecutor","2.81","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A1 (Nat)","18900","18900","Casework Assistant","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Business Centre Administrator","3.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Casework Assistant","53.68","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Fees Clerk","3.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Victim Liaison Officer","2.68","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 (Nat)","18736","21950","Witness Care Officer","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 Apprentice (Nat)","16767","18900","Business Centre Administrator","2.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level A2 Apprentice (Nat)","16767","18900","Casework Assistant","6.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Business Centre Support Manager","3.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Case Progression Manager","3.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Casework Administration Manager","8.61","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Court Centre Manager","4.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Crown Advocacy Clerk","2.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Fees Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Learning Operations Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Paralegal Officer","4.40","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Senior Personal Assistant","2.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 (Nat)","25480","28430","Victim Liaison Officer","2.77","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 Legal Trainee (Nat)","25480","28430","Legal Trainee","4.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 Paralegal Off (Nat)","25480","28430","Business Centre Support Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Officer","38.60","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B2 (Nat)","30130","33310","Area Finance Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B2 (Nat)","30130","33310","Area Performance Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B2 (Nat)","30130","33310","Change Manager","0.65","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B2 (Nat)","30130","33310","Court Centre Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B2 (Nat)","30130","33310","District Business Manager","2.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B2 (Nat)","30130","33310","Facilities, Estates and Security Manager","2.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B2 (Nat)","30130","33310","HR Advisory Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B2 (Nat)","30130","33310","Paralegal Business Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B2 (Nat)","30130","33310","Victim Liaison Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B2 Paralegal BM (Nat)","30130","33310","Paralegal Business Manager","6.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B3 (Nat)","38180","43390","Area Communication Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B3 (Nat)","38180","43390","Inclusion and Community Engagement Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level B3 (Nat)","38180","43390","Senior District Business Manager","2.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level D Admin (Nat)","50850","59670","Head of Business Centre","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Level E Admin (Nat)","67000","77290","Area Business Manager","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Paralegal Assistant (Nat)","20251","23470","Casework Assistant","0.81","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Paralegal Assistant (Nat)","20251","23470","Paralegal Assistant","9.21","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Senior Crown Advocate (Nat)","66410","71740","Senior Crown Advocate","1.00","Government Legal Profession","East Midlands"
"Attorney General's Office","Crown Prosecution Service","EAST MIDLANDS","CPS-G-002","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","112.67","Government Legal Profession","East Midlands"
