"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B1 (Nat)","25480","28430","Fees Manager","0.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B1 (Nat)","25480","28430","HR and Training Manager","1.40","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B1 (Nat)","25480","28430","Paralegal Officer","0.73","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B1 (Nat)","25480","28430","Senior Personal Assistant","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B1 (Nat)","25480","28430","Victim Liaison Officer","1.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B1 Legal Trainee (Nat)","25480","28430","Legal Trainee","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B1 Paralegal Off (Nat)","25480","28430","Case Progression Manager","1.78","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B1 Paralegal Off (Nat)","25480","28430","Crown Court Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Officer","25.04","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B2 (Nat)","30130","33310","Area Finance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B2 (Nat)","30130","33310","Area Performance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B2 (Nat)","30130","33310","Crown Court Manager","0.92","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B2 (Nat)","30130","33310","District Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B2 (Nat)","30130","33310","Facilities, Estates and Security Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B2 (Nat)","30130","33310","HR Advisory Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B2 (Nat)","30130","33310","Paralegal Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B2 (Nat)","30130","33310","Victim Liaison Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B2 Paralegal BM (Nat)","30130","33310","Paralegal Business Manager","2.78","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B3 (Nat)","38180","43390","Area Communications Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B3 (Nat)","38180","43390","Inclusion & Community Engagement Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level B3 (Nat)","38180","43390","Operational Business Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level D Admin (Nat)","50850","59670","Change Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level D Admin (Nat)","50850","59670","Head of Business Centre","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Level E Admin (Nat)","67000","77290","Area Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Paralegal Assistant (Nat)","20251","23470","Paralegal Assistant","12.55","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Principal Crown Advocate (Nat)","76230","83570","Principal Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Senior Crown Advocate (Nat)","66410","71740","Senior Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH EAST","CPS-G-015","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","77.70","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","AP Solicitor Apprentice (Nat)","30930","34480","Associate Prosecutor","0.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Associate Prosecutor (Nat)","30930","34480","Associate Prosecutor","10.89","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","B1 Solicitor Apprentice (Nat)","25480","28430","Paralegal Officer","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Crown Advocate (Nat)","51940","59930","Crown Advocate","13.73","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Crown Advocate ABP (Nat)","60810","64510","Crown Advocate","5.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Crown Prosecutor (Lon)","40000","44660","Crown Prosecutor","0.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Crown Prosecutor (Nat)","38000","42630","Crown Prosecutor","14.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Crown Prosecutor (Nat)","38000","42630","Legal Trainee","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Legal Manager 1 (National)","58040","66990","District Crown Prosecutor","19.91","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Legal Manager 2 (National)","67320","77300","Senior District Crown Prosecutor","7.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Legal Trainee AP1 (Nat)","30930","34480","Legal Trainee","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level A1 (Nat)","18900","18900","Casework Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level A2 (Nat)","18736","21950","Administrative Officer","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level A2 (Nat)","18736","21950","Business Support Officer","2.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level A2 (Nat)","18736","21950","Casework Assistant","66.27","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level A2 (Nat)","18736","21950","Fees Clerk","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level A2 (Nat)","18736","21950","Victim Liaison Assistant","2.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level A2 Apprentice (Nat)","16767","18900","Casework Assistant","7.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level A2 Apprentice (Nat)","16767","18900","Victim Liaison Assistant","0.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 (Nat)","25480","28430","Business Centre Support Manager","0.61","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 (Nat)","25480","28430","Business Support Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 (Nat)","25480","28430","Case Progression Manager","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 (Nat)","25480","28430","Casework Administration Manager","8.52","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 (Nat)","25480","28430","Charging Workflow Manager","1.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 (Nat)","25480","28430","Court Centre Manager","1.62","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 (Nat)","25480","28430","Crown Advocacy Clerk","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 (Nat)","25480","28430","Fees Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 (Nat)","25480","28430","Paralegal Officer","14.16","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 (Nat)","25480","28430","Senior Personal Assistant","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 (Nat)","25480","28430","Victim Liaison Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 Legal Trainee (Nat)","25480","28430","Legal Trainee","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 Paralegal Off (Nat)","25480","28430","Business Support Manager","0.64","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 Paralegal Off (Nat)","25480","28430","Casework Administration Manager","2.76","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 Paralegal Off (Nat)","25480","28430","Charging Workflow Manager","0.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 Paralegal Off (Nat)","25480","28430","Court Centre Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 Paralegal Off (Nat)","25480","28430","Crown Advocacy Clerk","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Officer","26.42","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B1 Paralegal Off (Nat)","25480","28430","Victim Liaison Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B2 (Nat)","30130","33310","Area Finance Manager","0.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B2 (Nat)","30130","33310","Area Performance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B2 (Nat)","30130","33310","Business Change Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B2 (Nat)","30130","33310","Court Centre Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B2 (Nat)","30130","33310","Facilities, Estates and Security Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B2 (Nat)","30130","33310","HR Advisor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B2 (Nat)","30130","33310","Paralegal Business Manager","1.79","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B2 Paralegal BM (Nat)","30130","33310","Court Centre Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B2 Paralegal BM (Nat)","30130","33310","Paralegal Business Manager","8.88","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B3 (Nat)","38180","43390","Area Communication Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B3 (Nat)","38180","43390","Inclusion & Community Engagement Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level B3 (Nat)","38180","43390","Operational Business Manager","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level D Admin (Nat)","50850","59670","Head of Business Centre","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level D Admin (Nat)","50850","59670","Senior Operational Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Level E Admin (Nat)","67000","77290","Area Business Manager","0.92","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Paralegal Assistant (Nat)","20251","23470","Paralegal Assistant","18.84","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Principal Crown Advocate (Nat)","76230","83570","Principal Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Senior Crown Advocate (Nat)","66410","71740","Senior Crown Advocate","7.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","114.90","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","3.49","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Senior Crown Prosecutor BAR","50519","62590","Senior Crown Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","NORTH WEST","CPS-G-005","Specialist Prosecutor (Nat)","56890","66990","Specialist Prosecutor","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","AP Solicitor Apprentice (Lon)","32040","36240","AP2 Legal Trainee (Nat)","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Associate Prosecutor (Lon)","32040","36240","Associate Prosecutor","7.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","B1 Solicitor Apprentice (Lon)","26970","30110","Paralegal Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Crown Advocate (Lon)","56460","64670","Crown Advocate","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Crown Advocate ABP (Lon)","65440","69430","Crown Advocate","2.80","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Crown Prosecutor (Lon)","40000","44660","Crown Prosecutor","11.66","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Crown Prosecutor (Nat)","38000","42630","Crown Prosecutor","2.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 Legal Trainee (Lon)","26970","30110","Legal Trainee","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Legal Manager 1 (London)","63960","71310","Legal Manager","13.30","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Legal Manager 1 (National)","58040","66990","Legal Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Legal Manager 2 (London)","70890","79430","Senior District Crown Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level A1 (Lon)","20180","20180","Administrative Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level A2 (Lon)","20120","23520","Business Centre Support Officer","1.35","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level A2 (Lon)","20120","23520","Casework Assistant","23.87","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level A2 (Lon)","20120","23520","Fees Clerk","3.62","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level A2 (Nat)","18736","21950","Casework Assistant","7.03","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level A2 Apprentice (Lon)","20120","23520","Business Centre Support Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level A2 Apprentice (Lon)","20120","23520","Casework Assistant","15.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level A2 Apprentice (Lon)","20120","23520","Victim Liaison Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level A2 PS (Lon)","20120","23520","Casework Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 (Lon)","26970","30110","Business Centre Support Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 (Lon)","26970","30110","Case Progression Manager","3.61","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 (Lon)","26970","30110","Casework Administration Manager","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 (Lon)","26970","30110","Charging Workflow Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 (Lon)","26970","30110","Court Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 (Lon)","26970","30110","Crown Court Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 (Lon)","26970","30110","Learning and Development Team Leader","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 (Lon)","26970","30110","Paralegal Officer","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 (Lon)","26970","30110","Senior Personal Assistant","1.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 (Nat)","25480","28430","Casework Administration Manager","0.92","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 (Nat)","25480","28430","Senior Personal Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 Legal Trainee (Lon)","26970","30110","Legal Trainee","8.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 Paralegal Off (Lon)","26970","30110","Fees Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 Paralegal Off (Lon)","26970","30110","Paralegal Officer","38.45","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B1 Paralegal Off (Lon)","26970","30110","Victim Liaison Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B2 (Lon)","31560","35020","Area Performance Manager","1.29","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B2 (Lon)","31560","35020","Change Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B2 (Lon)","31560","35020","District Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B2 (Lon)","31560","35020","Facilities, Estates and Security Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B2 (Lon)","31560","35020","HR Advisory Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B2 Paralegal BM (Lon)","31560","35020","Paralegal Business Manager","4.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B2 Paralegal BM (Nat)","30130","33310","Paralegal Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B3 (Lon)","39750","45530","Area Communications Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B3 (Lon)","39750","45530","Inclusion and Community Engagement Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B3 (Lon)","39750","45530","Operational Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level B3 (Lon)","39750","45530","Senior Finance Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level D Admin (Lon)","54760","65050","Head of Business Centre","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level D Admin (Lon)","54760","65050","Senior Unit Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Level E Admin (Lon)","69680","79410","Area Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Paralegal Assistant (Lon)","20999","24590","Paralegal Assistant","14.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Principal Crown Advocate (QC)","99790","120760","Principal Crown Advocate","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Senior Crown Advocate (Lon)","69300","74660","Senior Crown Advocate","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Senior Crown Prosecutor (Lon)","50519","62590","District Crown Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Senior Crown Prosecutor (Lon)","50519","62590","Senior Crown Prosecutor","74.63","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Senior Crown Prosecutor (Nat)","48077","55610","District Crown Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","7.22","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH EAST","CPS-G-014","Senior Crown Prosecutor BAR","50519","62590","Senior Crown Prosecutor BAR","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Associate Prosecutor (Nat)","30930","34480","Associate Prosecutor","8.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","B1 Solicitor Apprentice (Nat)","25480","28430","Legal Trainee","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Crown Advocate (Nat)","51940","59930","Crown Advocate","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Crown Advocate ABP (Nat)","60810","64510","Crown Advocate","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Crown Prosecutor (Nat)","38000","42630","Crown Prosecutor","10.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Legal Manager 1 (National)","58040","66990","Legal Manager","13.72","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Legal Manager 2 (National)","67320","77300","Senior District Crown Prosecutor","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level A2 (Nat)","18736","21950","Administrative Officer","3.24","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level A2 (Nat)","18736","21950","Casework Assistant","17.23","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level A2 (Nat)","18736","21950","Victim Liaison Assistant","1.60","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level A2 Apprentice (Nat)","16767","18900","Casework Assistant","18.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B1 (Nat)","25480","28430","Crown Advocacy Clerk","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B1 (Nat)","25480","28430","Business Support Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B1 (Nat)","25480","28430","Case Progression Manager","4.39","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B1 (Nat)","25480","28430","Casework Administration Manager","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B1 (Nat)","25480","28430","Charging Workflow Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B1 (Nat)","25480","28430","Delivery Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B1 (Nat)","25480","28430","Fees Manager","2.30","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B1 (Nat)","25480","28430","Senior Personal Assistant","3.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B1 (Nat)","25480","28430","Victim Liaison Officer","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B1 Legal Trainee (Nat)","25480","28430","Legal Trainee","6.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Assistant","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B1 Paralegal Off (Nat)","25480","28430","Paralegal Officer","24.43","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B2 (Nat)","30130","33310","Area Performance Manager","0.92","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B2 (Nat)","30130","33310","Change Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B2 (Nat)","30130","33310","Court Centre Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B2 (Nat)","30130","33310","Facilities, Estates and Security Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B2 (Nat)","30130","33310","HR Advisor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B2 Paralegal BM (Nat)","30130","33310","Paralegal Business Manager","5.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B3 (Nat)","38180","43390","Area Communications Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B3 (Nat)","38180","43390","Inclusion & Community Engagement Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level B3 (Nat)","38180","43390","Operational Business Manager","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level D Admin (Nat)","50850","59670","Head of Business Operations Centre","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Level E Admin (Nat)","67000","77290","Area Business Manager","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SOUTH WEST","CPS-G-008","Paralegal Assistant (Nat)","20251","23470","Paralegal Assistant","7.87","Law"
